"","Organism.name","Year","Source","Taxon","Assembly"
"dto","Desulfobacula toluolica","2012","GenBank","651182","GCA_000307105.1"
"ade","Anaeromyxobacter dehalogenans 2CP-C","2006","GenBank","290397","GCA_000013385.1"
"acp","Anaeromyxobacter dehalogenans 2CP-1","2009","GenBank","455488","GCA_000022145.1"
"afw","Anaeromyxobacter sp. Fw109-5","2007","GenBank","404589","GCA_000017505.1"
"ank","Anaeromyxobacter sp. K","2008","GenBank","447217","GCA_000020805.1"
"mxa","Myxococcus xanthus","2006","GenBank","246197","GCA_000012685.1"
"mfu","Myxococcus fulvus","2011","GenBank","483219","GCA_000219105.1"
"msd","Myxococcus stipitatus","2013","GenBank","1278073","GCA_000331735.1"
"mym","Myxococcus hansupus","2016","GenBank","1297742","GCA_000280925.3"
"mmas","Myxococcus macrosporus","2017","GenBank","1189310","GCA_002305895.1"
"ccx","Corallococcus coralloides","2012","GenBank","1144275","GCA_000255295.1"
"sur","Stigmatella aurantiaca","2011","GenBank","378806","GCA_000165485.1"
"age","Archangium gephyra","2015","GenBank","48","GCA_001027285.1"
"mbd","Melittangium boletus","2017","GenBank","1294270","GCA_002305855.1"
"cfus","Cystobacter fuscus","2017","GenBank","43","GCA_002305875.1"
"vin","Vulgatibacter incomptus","2015","GenBank","1391653","GCA_001263175.1"
"scl","Sorangium cellulosum So ce 56","2007","GenBank","448385","GCA_000067165.1"
"scu","Sorangium cellulosum So0157-2","2013","GenBank","1254432","GCA_000418325.1"
"ccro","Chondromyces crocatus","2015","GenBank","52","GCA_001189295.1"
"samy","Sandaracinus amylolyticus","2015","GenBank","927083","GCA_000737325.2"
"llu","Labilithrix luteola","2015","GenBank","1391654","GCA_001263205.1"
"mrm","Minicystis rosea","2017","GenBank","888845","GCA_001931535.1"
"hoh","Haliangium ochraceum","2009","GenBank","502025","GCA_000024805.1"
"sat","Syntrophus aciditrophicus","2006","GenBank","56780","GCA_000013405.1"
"dao","Desulfobacca acetoxidans","2011","GenBank","880072","GCA_000195295.1"
"dti","Desulfomonile tiedjei","2012","GenBank","706587","GCA_000266945.1"
"sfu","Syntrophobacter fumaroxidans","2006","GenBank","335543","GCA_000014965.1"
"dbr","Desulfarculus baarsii","2010","GenBank","644282","GCA_000143965.1"
"hmr","Hippea maritima","2011","GenBank","760142","GCA_000194135.1"
"dav","Desulfurella acetivorans","2014","GenBank","694431","GCA_000517565.1"
"dpb","Candidatus Babela massiliensis","2013","GenBank","673862","GCA_000513475.1"
"bba","Bdellovibrio bacteriovorus HD100","2004","GenBank","264462","GCA_000196175.1"
"bbat","Bdellovibrio bacteriovorus Tiberius","2012","GenBank","1069642","GCA_000317895.1"
"bbw","Bdellovibrio bacteriovorus W","2014","GenBank","765869","GCA_000525675.1"
"bbac","Bdellovibrio bacteriovorus 109J","2014","GenBank","959","GCA_000691605.1"
"bex","Bdellovibrio exovorus","2013","GenBank","1184267","GCA_000348725.1"
"bmx","Halobacteriovorax marinus","2012","GenBank","862908","GCA_000210915.2"
"bsto","Bacteriovorax stolpii","2018","GenBank","960","GCA_002872415.1"
"rpr","Rickettsia prowazekii Madrid E","1998","RefSeq","272947","GCF_000195735.1"
"rpo","Rickettsia prowazekii BuV67-CWPP","2012","GenBank","1105096","GCA_000277205.1"
"rpw","Rickettsia prowazekii Chernikova","2012","GenBank","1105094","GCA_000277165.1"
"rpz","Rickettsia prowazekii Dachau","2012","GenBank","1105097","GCA_000277225.1"
"rpg","Rickettsia prowazekii GvV257","2012","GenBank","1105098","GCA_000277245.1"
"rps","Rickettsia prowazekii Katsinyian","2012","GenBank","1105095","GCA_000277185.1"
"rpv","Rickettsia prowazekii RpGvF24","2012","GenBank","1105099","GCA_000277265.1"
"rpq","Rickettsia prowazekii Rp22","2012","GenBank","449216","GCA_000022785.1"
"rpl","Rickettsia prowazekii Breinl","2013","GenBank","1290428","GCA_000367405.1"
"rpn","Rickettsia prowazekii NMRC Madrid E","2013","GenBank","1290427","GCA_000363905.1"
"rty","Rickettsia typhi Wilmington","2004","GenBank","257363","GCA_000008045.1"
"rtt","Rickettsia typhi TH1527","2012","GenBank","1003201","GCA_000277285.1"
"rtb","Rickettsia typhi B9991CWPP","2012","GenBank","1003202","GCA_000277305.1"
"rcm","Rickettsia canadensis McKiel","2007","GenBank","293613","GCA_000014345.1"
"rcc","Rickettsia canadensis CA410","2012","GenBank","1105107","GCA_000283915.1"
"rbe","Rickettsia bellii RML369-C","2006","GenBank","336407","GCA_000012385.1"
"rbo","Rickettsia bellii OSU 85-389","2007","GenBank","391896","GCA_000018245.1"
"rco","Rickettsia conorii","2001","GenBank","272944","GCA_000007025.1"
"rfe","Rickettsia felis","2005","GenBank","315456","GCA_000012145.1"
"rak","Rickettsia akari","2007","GenBank","293614","GCA_000018205.1"
"rri","Rickettsia rickettsii Sheila Smith","2007","GenBank","392021","GCA_000018225.1"
"rrj","Rickettsia rickettsii Iowa","2008","GenBank","452659","GCA_000017445.3"
"rra","Rickettsia rickettsii Arizona","2012","GenBank","1105105","GCA_000283795.1"
"rrc","Rickettsia rickettsii Colombia","2012","GenBank","1105102","GCA_000283775.1"
"rrh","Rickettsia rickettsii Hauke","2012","GenBank","1105103","GCA_000283835.1"
"rrb","Rickettsia rickettsii Brazil","2012","GenBank","1105104","GCA_000283955.1"
"rrn","Rickettsia rickettsii Hino","2012","GenBank","1105100","GCA_000283815.1"
"rrp","Rickettsia rickettsii Hlp#2","2012","GenBank","1105101","GCA_000283935.1"
"rrm","Rickettsia rickettsii Morgan","2015","GenBank","1337396","GCA_000831545.1"
"rrr","Rickettsia rickettsii R","2015","GenBank","1338411","GCA_000831525.1"
"rms","Rickettsia massiliae MTU5","2007","GenBank","416276","GCA_000016625.1"
"rmi","Rickettsia massiliae AZT80","2012","GenBank","1105112","GCA_000283855.1"
"rpk","Rickettsia peacockii","2009","GenBank","562019","GCA_000021525.1"
"raf","Rickettsia africae","2009","GenBank","347255","GCA_000023005.1"
"rhe","Rickettsia heilongjiangensis","2011","GenBank","1032845","GCA_000221205.1"
"rja","Rickettsia japonica","2011","GenBank","652620","GCA_000283595.1"
"rsv","Rickettsia slovaca 13-B","2012","GenBank","941638","GCA_000237845.1"
"rsw","Rickettsia slovaca D-CWPP","2012","GenBank","1105109","GCA_000252365.1"
"rph","Rickettsia philipii","2012","GenBank","481009","GCA_000283995.1"
"rau","Rickettsia australis","2012","GenBank","1105110","GCA_000284155.1"
"rmo","Rickettsia montanensis","2012","GenBank","1105114","GCA_000284175.1"
"rpp","Rickettsia parkeri","2012","GenBank","1105108","GCA_000284195.1"
"rre","Rickettsia rhipicephali","2012","GenBank","1105113","GCA_000284075.1"
"ram","Rickettsia amblyommatis GAT-30V","2012","GenBank","1105111","GCA_000284055.1"
"rab","Rickettsia amblyommatis Ac37","2016","GenBank","33989","GCA_001273795.1"
"rmc","Rickettsia monacensis","2015","GenBank","109232","GCA_000499665.2"
"ots","Orientia tsutsugamushi Boryong","2007","GenBank","357244","GCA_000063545.1"
"ott","Orientia tsutsugamushi Ikeda","2008","GenBank","334380","GCA_000010205.1"
"ptc","Candidatus Phycorickettsia trachydisci","2018","GenBank","2115978","GCA_003015145.1"
"wol","Wolbachia wMel (Drosophila melanogaster)","2004","GenBank","163164","GCA_000008025.1"
"wri","Wolbachia wRi (Drosophila simulans)","2009","GenBank","66084","GCA_000022285.1"
"wen","Wolbachia wHa (Drosophila simulans)","2013","GenBank","1236909","GCA_000376605.1"
"wed","Wolbachia wNo (Drosophila simulans)","2013","GenBank","1236908","GCA_000376585.1"
"wpi","Wolbachia wPip (Culex quinquefasciatus)","2008","GenBank","570417","GCA_000073005.1"
"wbm","Wolbachia wBm (Brugia malayi)","2005","GenBank","292805","GCA_000008385.1"
"woo","Wolbachia wOo (Onchocerca ochengi)","2012","GenBank","100901","GCA_000306885.1"
"wcl","Wolbachia wCle (Cimex lectularius)","2015","GenBank","246273","GCA_000829315.1"
"ama","Anaplasma marginale St. Maries","2004","GenBank","234826","GCA_000011945.1"
"amf","Anaplasma marginale Florida","2009","GenBank","320483","GCA_000020305.1"
"amw","Anaplasma marginale Dawn","2013","GenBank","1412841","GCA_000495535.1"
"amp","Anaplasma marginale Gypsy Plains","2013","GenBank","1412840","GCA_000495495.1"
"acn","Anaplasma centrale","2009","GenBank","574556","GCA_000024505.1"
"aph","Anaplasma phagocytophilum HZ","2006","GenBank","212042","GCA_000013125.1"
"apy","Anaplasma phagocytophilum HZ2","2013","GenBank","1184253","GCA_000439755.1"
"apd","Anaplasma phagocytophilum Dog2","2013","GenBank","1184254","GCA_000439795.1"
"apha","Anaplasma phagocytophilum JM","2013","GenBank","1173064","GCA_000439775.1"
"eru","Ehrlichia ruminantium Welgevonden (South Africa)","2005","GenBank","254945","GCA_000026005.1"
"erw","Ehrlichia ruminantium Welgevonden (France)","2005","GenBank","254945","GCA_000050425.1"
"erg","Ehrlichia ruminantium Gardel","2005","GenBank","302409","GCA_000050405.1"
"ecn","Ehrlichia canis","2005","GenBank","269484","GCA_000012565.1"
"ech","Ehrlichia chaffeensis Arkansas","2006","GenBank","205920","GCA_000013145.1"
"echa","Ehrlichia chaffeensis Heartland","2014","GenBank","1249651","GCA_000632815.1"
"echj","Ehrlichia chaffeensis Jax","2014","GenBank","1249652","GCA_000632865.1"
"echl","Ehrlichia chaffeensis Liberty","2014","GenBank","1249653","GCA_000632885.1"
"echs","Ehrlichia chaffeensis Osceola","2014","GenBank","1249654","GCA_000632905.1"
"echv","Ehrlichia chaffeensis Saint Vincent","2014","GenBank","1249655","GCA_000632925.1"
"echw","Ehrlichia chaffeensis Wakulla","2014","GenBank","1249656","GCA_000632945.1"
"echp","Ehrlichia chaffeensis West Paces","2014","GenBank","1249650","GCA_000632965.1"
"emr","Ehrlichia muris","2013","GenBank","1423892","GCA_000508225.1"
"ehh","Ehrlichia sp. HF","2014","GenBank","391036","GCA_000632845.1"
"nse","Neorickettsia sennetsu","2006","GenBank","222891","GCA_000013165.1"
"nri","Neorickettsia risticii","2009","GenBank","434131","GCA_000022525.1"
"nhm","Neorickettsia helminthoeca","2014","GenBank","1286528","GCA_000632985.1"
"mmn","Candidatus Midichloria mitochondrii","2011","GenBank","696127","GCA_000219355.1"
"rbt","Rickettsiales bacterium Ac37b","2014","GenBank","1528098","GCA_000746585.2"
"paca","Candidatus Paracaedibacter acanthamoebae","2014","GenBank","91604","GCA_000742835.1"
"caq","Candidatus Paracaedimonas acanthamoebae","2014","GenBank","244581","GCA_000743035.1"
"naf","Candidatus Nucleicultrix amoebiphila","2017","GenBank","1414854","GCA_002117145.1"
"eaa","Endosymbiont of Acanthamoeba sp. UWC8","2014","GenBank","86106","GCA_000730245.1"
"mlo","Mesorhizobium japonicum MAFF 303099","2000","GenBank","266835","GCA_000009625.1"
"mln","Mesorhizobium loti NZP2037","2017","GenBank","935546","GCA_001676765.1"
"mci","Mesorhizobium ciceri","2011","RefSeq","765698","GCF_000185905.1"
"mop","Mesorhizobium opportunistum","2011","GenBank","536019","GCA_000176035.2"
"mam","Mesorhizobium australicum","2013","GenBank","754035","GCA_000230995.3"
"mamo","Mesorhizobium amorphae","2016","GenBank","1082933","GCA_001686985.1"
"meso","Mesorhizobium sp. B7","2017","GenBank","1670800","GCA_001889605.1"
"mesw","Mesorhizobium sp. WSM1497","2017","GenBank","278153","GCA_001672455.2"
"mes","Chelativorans sp. BNC1","2006","GenBank","266779","GCA_000014245.1"
"hoe","Hoeflea sp. IMCC20628","2015","GenBank","1620421","GCA_001011155.1"
"aak","Aminobacter aminovorans","2016","GenBank","83263","GCA_001605015.1"
"pht","Phyllobacterium sp. Tri-48","2017","GenBank","1867719","GCA_002764115.1"
"pla","Parvibaculum lavamentivorans","2007","GenBank","402881","GCA_000017565.1"
"sme","Sinorhizobium meliloti 1021","2001","RefSeq","266834","GCF_000006965.1"
"smk","Sinorhizobium meliloti AK83","2011","GenBank","693982","GCA_000147795.3"
"smq","Sinorhizobium meliloti BL225C","2012","GenBank","698936","GCA_000147775.3"
"smx","Sinorhizobium meliloti SM11","2012","GenBank","707241","GCA_000218265.1"
"smi","Sinorhizobium meliloti Rm41","2012","GenBank","1230587","GCA_000304415.1"
"smeg","Sinorhizobium meliloti GR4","2013","GenBank","1235461","GCA_000320385.2"
"smel","Sinorhizobium meliloti 2011","2013","GenBank","1286640","GCA_000346065.1"
"smer","Sinorhizobium meliloti RMO17","2014","GenBank","382","GCA_000747295.1"
"smd","Sinorhizobium medicae","2007","RefSeq","366394","GCF_000017145.1"
"rhi","Sinorhizobium fredii NGR234","2009","RefSeq","394","GCF_000018545.1"
"sfh","Sinorhizobium fredii HH103","2012","GenBank","1117943","GCA_000283895.1"
"sfd","Sinorhizobium fredii USDA 257","2012","GenBank","1185652","GCA_000265205.2"
"six","Sinorhizobium sp. RAC02","2016","GenBank","1842534","GCA_001713395.1"
"same","Sinorhizobium americanum","2017","GenBank","194963","GCA_001889105.1"
"sino","Sinorhizobium sp. CCBAU 05631","2017","GenBank","794846","GCA_002288505.1"
"ead","Ensifer adhaerens OV14","2014","GenBank","1416753","GCA_000583045.1"
"eah","Ensifer adhaerens Casida A","2016","GenBank","106592","GCA_000697965.2"
"esj","Ensifer sojae","2017","GenBank","716928","GCA_002288525.1"
"atu","Agrobacterium fabrum","2001","RefSeq","176299","GCF_000092025.1"
"ara","Agrobacterium radiobacter","2009","GenBank","311403","GCA_000016265.1"
"atf","Agrobacterium tumefaciens Ach5","2015","GenBank","358","GCA_000971565.1"
"ata","Agrobacterium tumefaciens S33","2016","GenBank","358","GCA_001551895.1"
"avi","Agrobacterium vitis","2009","GenBank","311402","GCA_000016285.1"
"agr","Agrobacterium sp. H13-3","2011","GenBank","861208","GCA_000192635.1"
"agc","Agrobacterium sp. RAC06","2016","GenBank","1842536","GCA_001713475.1"
"aro","Agrobacterium rhizogenes","2017","GenBank","359","GCA_002005205.3"
"ret","Rhizobium etli CFN 42","2006","GenBank","347834","GCA_000092045.1"
"rec","Rhizobium etli CIAT 652","2008","GenBank","491916","GCA_000020265.1"
"rel","Rhizobium etli bv. mimosae Mim1","2013","GenBank","1328306","GCA_000442435.1"
"rei","Rhizobium etli bv. mimosae IE4771","2014","GenBank","1301032","GCA_000698845.1"
"rep","Rhizobium etli bv. phaseoli IE4803","2015","GenBank","1432049","GCA_000816125.1"
"rle","Rhizobium leguminosarum bv. viciae 3841","2006","GenBank","216596","GCA_000009265.1"
"rlt","Rhizobium leguminosarum bv. trifolii WSM2304","2008","GenBank","395492","GCA_000021345.1"
"rlg","Rhizobium leguminosarum bv. trifolii WSM1325","2009","GenBank","395491","GCA_000023185.1"
"rlb","Rhizobium leguminosarum bv. trifolii WSM1689","2014","GenBank","754523","GCA_000517605.1"
"rlu","Rhizobium leguminosarum bv. trifolii CB782","2014","GenBank","1033991","GCA_000520875.1"
"rtr","Rhizobium tropici","2013","GenBank","698761","GCA_000330885.1"
"rir","Rhizobium sp. IRBG74","2013","GenBank","424182","GCA_000499645.1"
"rhl","Rhizobium favelukesii","2014","GenBank","348824","GCA_000577275.1"
"rga","Rhizobium gallicum","2015","GenBank","1418105","GCA_000816845.1"
"rhn","Rhizobium sp. N1341","2016","GenBank","1703962","GCA_001664085.1"
"rpha","Rhizobium phaseoli","2017","GenBank","396","GCA_001664105.1"
"rht","Rhizobium sp. NT-26","2017","GenBank","1125847","GCA_000967425.1"
"rhx","Rhizobium sp. N731","2017","GenBank","1703966","GCA_001664145.1"
"ngl","Neorhizobium galegae bv. officinalis bv. officinalis HAMBI 1141","2014","GenBank","1028801","GCA_000731295.1"
"ngg","Neorhizobium galegae bv. orientalis HAMBI 540","2014","GenBank","1028800","GCA_000731315.1"
"las","Candidatus Liberibacter asiaticus psy62","2009","GenBank","537021","GCA_000023765.2"
"laa","Candidatus Liberibacter asiaticus gxpsy","2013","GenBank","1174529","GCA_000346595.1"
"lat","Candidatus Liberibacter asiaticus Ishi-1","2015","GenBank","931202","GCA_000829355.1"
"lso","Candidatus Liberibacter solanacearum","2010","GenBank","658172","GCA_000183665.1"
"lcc","Liberibacter crescens","2012","GenBank","1215343","GCA_000325745.1"
"lar","Candidatus Liberibacter americanus","2013","GenBank","1261131","GCA_000496595.1"
"lau","Candidatus Liberibacter africanus","2015","GenBank","1277257","GCA_001021085.1"
"shz","Shinella sp. HZN7","2016","GenBank","879274","GCA_001652565.1"
"bme","Brucella melitensis bv. 1 16M","2002","GenBank","224914","GCA_000007125.1"
"bmel","Brucella melitensis bv. 1 16M","2015","GenBank","224914","GCA_000740415.1"
"bmi","Brucella melitensis ATCC 23457","2009","GenBank","546272","GCA_000022625.1"
"bmz","Brucella melitensis M28","2012","GenBank","941967","GCA_000192725.1"
"bmg","Brucella melitensis M5-90","2012","GenBank","703352","GCA_000192885.1"
"bmw","Brucella melitensis NI","2012","GenBank","1029825","GCA_000227645.1"
"bmee","Brucella melitensis bv. 3 Ether","2014","GenBank","520466","GCA_000740355.1"
"bmf","Brucella abortus 2308","2005","GenBank","359391","GCA_000054005.1"
"bmb","Brucella abortus bv. 1 9-941","2005","GenBank","262698","GCA_000008145.1"
"bmc","Brucella abortus S19","2008","GenBank","430066","GCA_000018725.1"
"baa","Brucella abortus A13334","2012","GenBank","1104320","GCA_000238175.1"
"babo","Brucella abortus bv. 2 86/8/59","2014","GenBank","520450","GCA_000740375.1"
"babr","Brucella abortus bv. 6 870","2014","GenBank","520454","GCA_000740215.1"
"babt","Brucella abortus 63 75","2014","GenBank","235","GCA_000740295.1"
"babb","Brucella abortus BDW","2014","GenBank","235","GCA_000740135.1"
"babu","Brucella abortus bv. 9 C68","2014","GenBank","520455","GCA_000740195.1"
"babs","Brucella abortus BER","2015","GenBank","235","GCA_000740155.1"
"babc","Brucella abortus NCTC 10505","2015","GenBank","235","GCA_000740175.1"
"bms","Brucella suis 1330","2002","GenBank","204722","GCA_000007505.1"
"bsi","Brucella suis 1330","2012","GenBank","204722","GCA_000223195.1"
"bsf","Brucella suis bv. 1","2014","GenBank","1004954","GCA_000600055.1"
"bsui","Brucella suis bv. 2 Bs143CITA","2014","GenBank","645170","GCA_000699025.1"
"bsup","Brucella suis bv. 2 PT09143","2014","GenBank","645170","GCA_000698245.1"
"bsuv","Brucella suis bv. 2 PT09172","2014","GenBank","645170","GCA_000698285.1"
"bsuc","Brucella suis bv. 2 Bs364CITA","2015","GenBank","645170","GCA_000698325.1"
"bmt","Brucella suis ATCC 23445","2007","GenBank","470137","GCA_000018905.1"
"bsz","Brucella suis bv. 3","2014","GenBank","520487","GCA_000740255.1"
"bsv","Brucella suis VBI22","2012","GenBank","1112912","GCA_000236255.1"
"bsw","Brucella suis ZW043","2014","GenBank","29461","GCA_000755105.1"
